Canton,Year,price_before_surcharge,renewable_surcharge,total_price,solar_power_installed_kwp,adoption_rate,price_change,price_before_surcharge_change
Aargau,2022,0.1559938081432865,0.023,0.1789938081432865,247139.0833333333,24.400036309065996,3.6053296674892765,4.159014107136705
Aargau,2023,0.2125157836978445,0.023,0.2355157836978445,322680.8333333333,30.5664927542487,31.5776149694025,36.23347376880517
Aargau,2024,0.2970344975829507,0.023,0.3200344975829507,437235.8888888889,35.501041190512474,35.88664528469128,39.77055840956978
Appenzell Ausserrhoden,2022,0.1555074229185592,0.023,0.1785074229185592,23382.75,18.438647587691538,2.140371218338477,2.4647409042884982
Appenzell Ausserrhoden,2023,0.2187479892660195,0.023,0.2417479892660195,31956.83333333333,36.66841296824936,35.42741546177197,40.66723321662915
Appenzell Ausserrhoden,2024,0.2701625012734677,0.023,0.2931625012734676,45979.11111111111,43.878808740262485,21.267813711108708,23.503992964672694
Appenzell Innerrhoden,2022,0.152382119470757,0.023,0.175382119470757,13455.75,21.3191539238315,3.6628925534083923,4.239193119925089
Appenzell Innerrhoden,2023,0.2200260069370187,0.023,0.2430260069370187,16784.833333333332,24.74097195127236,38.5694320894215,44.39096115817116
Appenzell Innerrhoden,2024,0.2611528719037871,0.023,0.2841528719037871,21070.0,25.529992354208673,16.9228246330964,18.691819907698793
Basel Landschaft,2022,0.1663462105747985,0.023,0.1893462105747985,98542.5,16.123478525243296,4.901929378782199,5.617774362169858
Basel Landschaft,2023,0.2326439320340842,0.023,0.2556439320340842,118436.08333333331,20.187820821811208,35.01402074962348,39.85526404851558
Basel Landschaft,2024,0.2682813398247497,0.023,0.2912813398247497,154513.88888888888,30.461836072386927,13.940251781886248,15.318434260922121
Basel Stadt,2022,0.2368164924143834,0.023,0.2598164924143834,32359.166666666668,20.24423536173292,2.6693227921827933,2.9361837556517223
Basel Stadt,2023,0.2692800375807082,0.023,0.2922800375807082,36801.75,13.728979423656362,12.494797718440598,13.708312641300257
Basel Stadt,2024,0.2904983007645421,0.023,0.3134983007645421,41864.0,13.755459998505515,7.259566325317324,7.879627236562015
Bern,2022,0.1929160910897826,0.023,0.2159160910897826,406828.5833333333,15.434141003432789,-0.542276048920598,-0.6065355921164306
Bern,2023,0.2023417998156581,0.023,0.2253417998156581,500482.25,23.020424449855327,4.365449873745675,4.885911109140606
Bern,2024,0.2468988315179259,0.023,0.2698988315179259,647895.8888888889,29.454319087018344,19.773087699981918,22.02067577873732
Fribourg,2022,0.1637757200505926,0.023,0.1867757200505925,190265.25,14.945283784861441,0.1787920554597422,0.2039520988883714
Fribourg,2023,0.2038061613719601,0.023,0.2268061613719601,230387.5833333333,21.087578174855004,21.432358183667777,24.442231918749325
Fribourg,2024,0.2732107474546267,0.023,0.2962107474546268,296259.6666666667,28.591854812777463,30.60083802963525,34.05421387432863
Geneva,2022,0.1619901111826269,0.023,0.1849901111826269,79693.41666666667,22.256730684167536,1.4444699323151067,1.652951580571016
Geneva,2023,0.2041093758941217,0.023,0.2271093758941217,94691.16666666669,18.81930857944143,22.76838715444287,26.00113328153082
Geneva,2024,0.2458778146772371,0.023,0.2688778146772371,115170.44444444444,21.627442663019703,18.39133176192067,20.463753122630713
Glarus,2022,0.1708352055732885,0.023,0.1938352055732885,12330.166666666666,38.419886691064775,1.780815823655102,2.0254278989930485
Glarus,2023,0.2499348132253072,0.023,0.2729348132253072,17491.75,41.861423879104095,40.80765793709822,46.30170191593494
Glarus,2024,0.2780065582739194,0.023,0.3010065582739194,25369.444444444445,45.036628378775404,10.285146375020693,11.231626633504055
Grisons,2022,0.1746425598493121,0.023,0.1976425598493121,92605.41666666669,18.07909136270944,1.1496138881208484,1.302987980082282
