Canton,Year,price_before_surcharge,renewable_surcharge,total_price
Valais,2023,0.2577020009405547,0.023,0.2807020009405547
Valais,2024,0.25924732935016526,0.023,0.2822473293501652
Vaud,2021,0.17794311165829357,0.023,0.20094311165829354
Vaud,2022,0.18190194041110297,0.023,0.20490194041110296
Vaud,2023,0.24506536190414857,0.023,0.26806536190414854
Vaud,2024,0.28633653861971875,0.023,0.30933653861971877
Zug,2021,0.16064920534763658,0.023,0.18364920534763657
Zug,2022,0.16503666400419212,0.023,0.18803666400419208
Zug,2023,0.2467561615987505,0.023,0.2697561615987505
Zug,2024,0.2868721154628962,0.023,0.3098721154628962
Zurich,2021,0.14701353198656134,0.023,0.17001353198656133
Zurich,2022,0.15131207799229304,0.023,0.17431207799229304
Zurich,2023,0.18990078224722423,0.023,0.21290078224722422
Zurich,2024,0.25042091263216687,0.023,0.2734209126321669
