canton,energyreporter_date,solar_power_installed_kwp
ZG,2023-09-30,60658
ZG,2023-10-31,61054
ZG,2023-11-30,61530
ZG,2023-12-31,63802
ZG,2024-01-31,64352
ZG,2024-02-29,64340
ZG,2024-03-31,64352
ZG,2024-04-30,70149
ZG,2024-05-31,71576
ZG,2024-06-30,71576
ZG,2024-07-31,74886
ZG,2024-08-31,74886
ZG,2024-09-30,79806
ZH,2021-03-31,197201
ZH,2021-04-30,197199
ZH,2021-05-31,241976
ZH,2021-06-30,249290
ZH,2021-07-31,255339
ZH,2021-08-31,255339
ZH,2021-09-30,260307
ZH,2021-10-31,267638
ZH,2021-11-30,273260
ZH,2021-12-31,284021
ZH,2022-01-31,284620
ZH,2022-02-28,286911
ZH,2022-03-31,292436
ZH,2022-04-30,299416
ZH,2022-05-31,310545
ZH,2022-06-30,315627
ZH,2022-07-31,312757
ZH,2022-08-31,319347
ZH,2022-09-30,326813
ZH,2022-10-31,326813
ZH,2022-11-30,334014
ZH,2022-12-31,346653
ZH,2023-01-31,346653
ZH,2023-02-28,354130
ZH,2023-03-31,359644
ZH,2023-04-30,370281
ZH,2023-05-31,373404
ZH,2023-06-30,386974
ZH,2023-07-31,395270
ZH,2023-08-31,404658
ZH,2023-09-30,404658
ZH,2023-10-31,411381
ZH,2023-11-30,427335
ZH,2023-12-31,450032
ZH,2024-01-31,466048
ZH,2024-02-29,466048
ZH,2024-03-31,466048
ZH,2024-04-30,506948
ZH,2024-05-31,521583
ZH,2024-06-30,521583
ZH,2024-07-31,551897
ZH,2024-08-31,551897
ZH,2024-09-30,583536
